statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
i just care about getting shot because the fortress shoots you very fast,0,0,400,2,12,19,TRUE,0
still need to be trying to hit the fortress,1,1,623,7,7,262,TRUE,1
shot the fortress once,1,1,3,4,4,73,TRUE,1
so now im consistently shooting the fortress being able to kill it getting used to the ships control more getting used to flying around in a frictionless environment and compensating on the turns,1,1,681,1,1,218,TRUE,1
shoot the fortress while its not looking,1,1,44,7,7,934,TRUE,1
got to get the fortress in yes 10 seconds got it,1,1,818,6,16,453,TRUE,1
p when you destroy the fortress does it explode or anything,1,1,689,7,7,36,TRUE,1
whoever is controlling this fortress needs to take a day off,0,0,41,10,20,350,TRUE,0
ship was damaged 48 by fortress,0,0,54,7,17,226,TRUE,0
that fortress makes me panic a lot though not gonna lie,0,0,214,6,16,146,TRUE,0
the fortress,0,0,46,10,10,629,TRUE,0
flying too close to the fortress,0,0,3,8,18,468,TRUE,0
p taking out the fortress seems to be the best way to not suck,1,1,35,4,4,200,TRUE,1
i just gotta destroy the fortress now,1,1,685,2,2,33,TRUE,1
bounce off the fortress,0,0,53,7,7,329,TRUE,0
stay in the box and not get hit by the fortress,0,0,913,8,8,70,TRUE,0
i was hit by the mine and fortress an equal amount of times,0,0,12,6,6,567,TRUE,0
im still trying to hit the fortress,1,1,623,8,8,285,TRUE,1
this is my first time trying to shoot at the fortress never thought about that,1,1,445,7,17,228,TRUE,1
p i just stick to floating around and shooting the fortress to increase the vlnr,1,1,689,10,10,46,TRUE,1
if you get to like ten im sure it might be worth it to go straight next to the fortress shoot it and hope it hits,1,1,12,8,8,628,TRUE,1
p now i just really wanna try and destroy the fortress before i leave,1,1,2,4,14,58,TRUE,1
p the two things ive really been focusing on are staying in the hexagon which i havent been doing great at my other goal is to kill the fortress ive been doing okay at that,1,1,35,5,5,211,TRUE,1
im getting a little better im just trying to stay on mumbles i just ran into the fortress,0,0,445,3,13,95,TRUE,0
i get more satisfaction out of that than destroying the fortress,1,1,685,9,19,417,TRUE,1
i believe i died right before i got to kill that fortress which is kind of mumbles,1,1,36,9,9,255,TRUE,1
the space fortress doesnt like it that much,0,0,804,7,17,158,TRUE,0
im just going to bounce off the fortress,0,0,53,7,7,327,TRUE,0
its merely a matter of hitting the fortress and avoiding the mines i think i can do that but i believe staying inside the space between both hexagons is the issue for me,1,1,586,7,7,112,TRUE,1
im going to try just hitting the fortress this time and not moving,1,1,623,2,2,161,TRUE,1
1 2 3 4 5 6 7 8 9 10 reset to 0 1 2 3 4 5 6 vulnerability 7 8 9 10 destroyed the fortress 84 points,1,1,372,10,20,235,TRUE,1
im gonna just keep shooting at the fortress and hopefully something will work,1,1,49,3,13,98,TRUE,1
it has been quite difficult to keep it within a fortress this game,0,0,848,1,1,233,TRUE,0
ihavem3000 but have never killed this many fortresses,1,1,569,10,20,146,TRUE,1
so i just destroyed the fortress to gain 100 points i believe,1,1,848,6,16,130,TRUE,1
hit the fortress again,1,1,361,7,17,183,TRUE,1
now get toward the fortress,0,0,44,5,5,790,TRUE,0
alright i havent even been able to shoot the fortress and its been 7 games,1,1,338,7,7,132,TRUE,1
p okay i completely forgot that im supposed to hit the fortress so,1,1,7,2,2,331,TRUE,1
when youre focusing on the enemy mine having a hard time avoiding the fortresss bullets,0,0,404,5,5,181,TRUE,0
got the fortress,1,1,46,8,8,527,TRUE,1
no bonus and i cant destroy the fortress while the mines are onscreen so wish i could shoot the mines,1,1,44,8,18,344,TRUE,1
i still need to be shooting because i still have yet to destroy the fortress,1,1,623,1,1,136,TRUE,1
the fortress shoots you,0,0,38,1,11,4,TRUE,0
i was closer that time to destroying the fortress than i was other times but it always kills me before i can kill it,1,1,853,3,3,75,TRUE,1
kill the fortress,1,1,52,2,2,505,TRUE,1
but the fortress shot me so it disappeared,0,0,848,1,1,237,TRUE,0
well i cant promise cuz i keep my promises but imma try my best to kill the fortress,1,1,49,7,7,441,TRUE,1
im still using the same strategy from before its the only way ive been able to destroy this fortress,1,1,372,8,8,93,TRUE,1
okay so if i hit the fortress imma bounce,1,0,113,1,11,29,FALSE,1
okay i think i actually kind of killed the ship there or the fortress,1,1,681,1,1,201,TRUE,1
thats 3 fortresses destroyed,1,1,685,9,19,419,TRUE,1
i cant even hit the fortress cuz i cant hit the mine,1,1,49,1,11,22,TRUE,1
kill the mine ok hit the fortress ok i think im getting the hang of it now,1,1,211,1,11,157,TRUE,1
p oh yea thats right i have to take care of the mines before i move on to the fortress,1,1,155,5,5,247,TRUE,1
all im trying to do is get the vulnerability of this fortress to ten,1,1,49,3,3,316,TRUE,1
finally killed the fortress,1,1,454,7,17,75,TRUE,1
6 times by mines but i did actually umm damage the fortress,1,1,568,2,2,55,TRUE,1
oh im already at nine hits on the fortress,1,1,42,5,5,169,TRUE,1
i died before i could shoot the fortress again,1,1,3,7,7,133,TRUE,1
because i did destroy the fortress but the fortress destroyed me like 26 times,1,1,53,10,20,873,TRUE,1
killed the fortress twice,1,1,3,9,9,185,TRUE,1
this fortress shoots way too fast,0,0,36,3,3,82,TRUE,0
thats another fortress down,1,1,825,2,12,340,TRUE,1
three fortresses done,0,1,818,10,20,582,FALSE,1
i wasnt warned that the fortress was going to shoot missiles i dont remember that warning,0,0,113,8,8,485,TRUE,0
uh the vulnerability of the fortress is at 11 right now and hopefully i can get a good i got the shot off before i was able to destroy it,1,1,848,2,2,256,TRUE,1
okay so im trying to get the vulnerability counter on the fortress down,1,1,681,1,1,198,TRUE,1
shoot the fucking fortress though,1,1,537,2,12,29,TRUE,1
inaudible was damaged five times by fortress inaudible,0,0,3,10,10,232,TRUE,0
if you try to just move horizontally or vertically you just got shot by the fortress,0,0,12,3,13,98,TRUE,0
shoot the fortress,1,1,33,8,18,305,TRUE,1
p maybe that shows that my staying in the hexagon and shooting the fortress the most important part has made me terrible in every other part,1,1,35,7,7,225,TRUE,1
so i thought there was gunna be like some interval speed popping up when i shoot the fortress,1,1,273,3,3,64,TRUE,1
trying to be a good noodle and stay within the space but the fortress is making it really hard,0,0,586,4,4,61,TRUE,0
now i need to fire at the fortress,1,1,55,9,9,958,TRUE,1
trying to avoid the fortress,0,1,300,3,3,283,FALSE,0
p i thought i hit the fortress but i dont think i actually did,1,1,361,9,19,231,TRUE,1
right into the fortress,0,0,604,8,18,328,TRUE,0
um just got shot by the fortress um,0,0,273,2,2,40,TRUE,0
i have to get the stupid fortress once,0,1,301,2,2,159,FALSE,1
should be able to hit the fortress,1,1,46,4,4,394,TRUE,1
so when you get hit by the fortress the mine just disappears i guess the mine just thinks you were screwed,0,0,804,3,13,70,TRUE,0
nice and then go for the fortress,1,1,52,2,2,496,TRUE,1
destroyed the fortress 404 points,1,1,372,7,17,208,TRUE,1
im supposed to be hitting the fortress,1,1,49,9,19,241,TRUE,1
1 2 3 4 5 6 7 8 9 10 destroyed the fortress 306 points,1,1,372,7,17,209,TRUE,1
see im getting hit by the fortress,0,0,49,9,19,240,TRUE,0
got the fortress,1,1,46,8,8,534,TRUE,1
they say you have to deal with your enemy before the fortress im just trying to deal with flying in the correct pattern,0,1,604,8,18,332,FALSE,1
mumbles alright now im trying to fly around the fortress the best as possible without going over but got shot,0,0,848,3,13,50,TRUE,0
p like the fortress by itself without hitting anything else,0,0,101,1,1,366,TRUE,0
the vulnerability of the fortress is at 10 now so i was able to shoot it twice and it shot me once and i died,1,1,848,10,20,211,TRUE,1
okay i think im focusing too much on like just shooting the fortress the lines are too fast for me to control around and aim at,1,1,273,4,14,277,TRUE,1
trying so hard to not go off the screen cause that just gets your points bad and then you dont want to hit the fortress because the fortress you bounce off of it then you dont go in the direction you dont want to go,1,1,348,8,18,90,TRUE,1
just want to destroy the fortress one time,1,1,319,6,16,384,TRUE,1
just took too much damage from the fortress,0,0,36,6,16,518,TRUE,0
there were just 2 dollar signs in a row so i received 100 point bonus but right after i was just killed by the fortress,0,0,848,6,6,328,TRUE,0
2 fortresses better already i guess,1,1,569,6,16,88,TRUE,1
shot the fortress three times,1,1,55,8,18,367,TRUE,1
so well try one of the techniques of flying off the screen to avoid being hit by the fortress because it shot a lot last game,0,0,848,8,8,353,TRUE,0
