statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
am i getting bonus right off hand,1,1,210,5,15,270,TRUE,1
first oh second money sign bonus,1,1,34,6,6,303,TRUE,1
bonus,1,1,14,5,5,649,TRUE,1
bonus,1,1,56,10,20,701,TRUE,1
second money sign bonus perfect,1,1,34,8,8,390,TRUE,1
a bonus of missiles i chose,1,1,853,4,4,100,TRUE,1
bonus points,1,1,41,6,16,188,TRUE,1
so every time i shoot im losing point i shouldve used the bonus points,1,1,20,2,2,463,TRUE,1
fortress now has after i was just killed by it has 3 vulnerability there was just 2 dollar signs in a row so i received 100 bonus points but was immediately shot twice by the fortress,1,1,848,7,17,146,TRUE,1
no bonus again,1,1,12,10,10,694,TRUE,1
next bonus they get five missiles,1,1,12,7,17,227,TRUE,1
like im not even worrying about the bonus points cause ill probably lose it all trying,1,1,20,2,12,46,TRUE,1
got to get the bonus missiles,1,1,130,3,13,72,TRUE,1
bonus though,1,1,28,8,18,809,TRUE,1
aw no it was at 10 vulnerability okay i got extrta points with the next bonus ill use exra points zvg bad one but i cant aim at it second bonus got it,1,1,130,5,5,315,TRUE,1
bonus left,1,1,27,6,6,111,TRUE,1
that should be a bonus,1,1,12,3,13,105,TRUE,1
get the bonus,1,1,44,5,15,117,TRUE,1
bonus,1,1,420,7,17,167,TRUE,1
first dollar sign 8 9 second ollar sign bonus points,1,1,825,9,9,264,TRUE,1
bonus,1,1,56,9,19,670,TRUE,1
bonus there you go,1,1,57,6,6,1174,TRUE,1
first bonus sign w friendly ah no first bonus sign i think i got this circling thing down,1,1,404,5,15,556,TRUE,1
bonus,1,1,155,10,10,298,TRUE,1
its a bonus,1,1,6,1,11,161,TRUE,1
yeah give me that bonus,1,1,28,6,16,742,TRUE,1
missed the bonus,1,1,6,10,10,140,TRUE,1
haha bonus,1,1,57,9,19,605,TRUE,1
1 2 3 4 5 bonus 6 7 8 9 10 188,1,1,372,9,9,105,TRUE,1
alright so a mine just destroyed me but i am inside the fortress now traveling at a slow speed and just collected a bonus but then was then shot and destroyed by the fortress,1,1,848,4,4,292,TRUE,1
two bonus,1,1,54,10,10,462,TRUE,1
this navigations the worst also theres like so many things to look out for cause like you want to keep your eyes on the bonus thing and,1,1,411,4,4,56,TRUE,1
bonus points,1,1,33,8,8,790,TRUE,1
dollar sign i think the only thing im getting kind of well are the dollar signs and the bonus points but i cant rely on them because its only 100 points,1,1,853,4,14,377,TRUE,1
oh bonus points i got bonus points,1,1,33,2,12,94,TRUE,1
7 okay thats the bonus,1,1,29,6,6,505,TRUE,1
bonus missiles,1,1,50,9,19,419,TRUE,1
bonus,1,1,44,3,3,646,TRUE,1
alright bonus 2 my shots are at 53 so my next bonus im going to get bullets oh no i clicked too early dang it,1,1,130,9,19,200,TRUE,1
i really want that bonus,1,1,8,9,19,277,TRUE,1
p i messed up my bonus points,1,1,19,5,5,123,TRUE,1
got two bonuses,1,1,48,6,16,1184,TRUE,1
i always want to take the bonus points because chances of you even living long enough to run out of ammo are slim,1,1,681,5,15,84,TRUE,1
ill try to get more bonus points next time,1,1,273,9,19,372,TRUE,1
there goes the first bonus hopefully that helps out,1,1,804,10,10,401,TRUE,1
p no bonus friend,1,1,22,1,1,101,TRUE,1
dollar sign again no bonus,1,1,273,5,5,116,TRUE,1
so focused with destroyed the fortress i forget about the bonuses,1,1,809,4,14,57,TRUE,1
money sign money sign bonus t identified destroyed,1,1,681,6,16,109,TRUE,1
the speed is very hard to control but luckily we just got a second bonus or second dollar sign to receive the bonus,1,1,848,4,4,301,TRUE,1
p well i got a bonus,1,1,17,3,3,18,TRUE,1
real close not take bonus shots i took bonus points because i dont know how to work a mouse,1,1,41,3,3,427,TRUE,1
two dollar signs extra bonus points,1,1,52,6,6,677,TRUE,1
4 5 6 bonus,1,1,29,5,5,468,TRUE,1
p i wasnt quick enough to get that bonus that time,1,1,17,4,4,24,TRUE,1
got the bonus,1,1,6,1,11,151,TRUE,1
i was able to identify the bonus that time,1,1,685,3,13,276,TRUE,1
money sign bonus killed the fortress,1,1,681,NA,NA,327,TRUE,1
i started to ignore the bonuses,1,1,853,9,19,457,TRUE,1
oh no i made it an enemy i need bonus missiles cause enemies are fik,1,1,130,9,9,391,TRUE,1
im getting that bonus if im paying attention and dont die,1,1,44,5,15,127,TRUE,1
mumble h and bonus yes,1,1,301,6,16,98,TRUE,1
6 dollar sign bonus,1,1,910,8,8,196,TRUE,1
another bonus solid alright,1,1,348,5,15,46,TRUE,1
get the bonus at least,1,1,11,5,15,645,TRUE,1
tow dollar signs bonus,1,1,56,9,9,137,TRUE,1
p yeah im just trying to stay clockwise and go around the fortress to shoot it and get bonus points and not get hit,1,1,348,10,10,188,TRUE,1
gonna stick around for the bonus,1,1,404,10,20,806,TRUE,1
that was a bonus that i missed probably,1,1,825,2,12,336,TRUE,1
i already got the first bonus sign out,1,1,404,3,13,489,TRUE,1
still at 91 shots so i guess ill never have to get the missile bonus cause im very lenient with my ammo which is how i should be,1,1,804,2,12,43,TRUE,1
p bonus,1,1,22,5,15,42,TRUE,1
bonus cool i just got points,1,1,34,3,3,141,TRUE,1
i jumped the gun on the bonus,1,1,46,7,7,497,TRUE,1
i missed every bonus opportunity,1,1,1,8,18,720,TRUE,1
bonus,1,1,28,7,17,794,TRUE,1
i can get a bonus,1,1,44,10,20,418,TRUE,1
already lost those bonus points thats a waste of bonus points,1,1,41,5,5,485,TRUE,1
p another bonus,1,1,46,2,2,334,TRUE,1
p bonus points because this guy is a friend im not really bothered by him,1,1,17,10,10,55,TRUE,1
okay bonus,1,1,34,4,14,851,TRUE,1
missed that bonus,1,1,36,7,17,562,TRUE,1
okay bonus missiles,1,1,50,2,12,169,TRUE,1
left click it gave me the bonus,1,1,300,5,5,328,TRUE,1
bonus,1,1,50,2,12,180,TRUE,1
got the bonus,1,1,54,10,20,281,TRUE,1
its the first so i got the bonus,1,1,46,8,8,531,TRUE,1
first bonus,1,1,788,9,19,119,TRUE,1
lets see get the bonus points,1,1,300,9,19,208,TRUE,1
bonus,1,1,44,3,3,644,TRUE,1
am i going to get a bonus,1,1,15,7,7,1101,TRUE,1
p no bonus,1,1,22,1,11,9,TRUE,1
bonus missile,1,1,52,4,14,135,TRUE,1
i feel like if i dont shoot at the thing and just got all the bonus points ill get a higher score,1,1,908,6,16,67,TRUE,1
oh is that a bonus yes thats a bonus,1,1,33,4,14,181,TRUE,1
already got that bonus,1,1,36,3,13,410,TRUE,1
focusing on bonus,1,1,902,4,4,62,TRUE,1
okay bonus missiles,1,1,50,8,18,394,TRUE,1
i want those bonus points im not gonna get those apparently,1,1,14,7,17,283,TRUE,1
second bonus,1,1,788,9,19,117,TRUE,1
its the second but i missed cuz i died at the same time and it didnt allow for a bonus point receiving,1,1,44,2,2,557,TRUE,1
i got a bonus got points,1,1,372,4,4,52,TRUE,1
no i still didnt get the bonus points,1,1,11,4,4,172,TRUE,1
bonus,1,1,30,3,13,734,TRUE,1
thats one dollar bill and just traveling like this thats three bonus points,1,1,33,8,18,320,TRUE,1
p its only the dollar signs that give you bonus signs,1,1,432,8,18,90,TRUE,1
lemmy get them bonus points,1,1,16,8,18,1257,TRUE,1
saw one dollar sign could collect the bonus,1,1,3,1,11,263,TRUE,1
p bonus cause i need it,1,1,17,9,9,52,TRUE,1
bonus,1,1,54,10,10,467,TRUE,1
theres the first bonus sign ah too late too late,1,1,404,1,11,409,TRUE,1
bonus,1,1,34,10,20,1420,TRUE,1
there was just 1 dollar sign and another so i was able to get the full point bonus but i was immediately destroyed by the fortress,1,1,848,10,20,210,TRUE,1
i need that bonus,1,1,29,9,19,269,TRUE,1
i need bonus 059 video 4 uninterpretable kuz,1,1,14,10,10,852,TRUE,1
wheres the bonus,1,1,8,3,13,96,TRUE,1
gimme that bonus,1,1,8,9,19,289,TRUE,1
p bonus yup,1,1,50,10,10,129,TRUE,1
bonus,1,1,56,4,14,380,TRUE,1
p i saw a dollar sign and randomly clicked the bonus and got it,1,1,35,3,3,190,TRUE,1
also bonus points,1,1,14,2,2,496,TRUE,1
got the bonus,1,1,54,2,2,327,TRUE,1
double click for bonus,1,1,420,8,18,212,TRUE,1
money sign money sign bonus,1,1,681,7,7,293,TRUE,1
p i got a bonus,1,1,23,2,2,60,TRUE,1
bonus,1,1,54,8,8,430,TRUE,1
oh yes i got the bonus,1,1,15,8,8,1174,TRUE,1
i think thats the first bonus,1,1,8,6,16,176,TRUE,1
p theres one dollar sign and a foe theres the second dollar sign so i got the bonus,1,1,45,6,16,187,TRUE,1
that was just the first dollar sign and a second dollar sign so 100 bonus points was collected,1,1,848,7,17,142,TRUE,1
pck are the bad ones just got that bonus thats a plus,1,1,338,8,18,307,TRUE,1
p the second dollar sign so got the bonus again,1,1,45,7,7,75,TRUE,1
first bonus sign second one got the bonus 9 i friendly friendly ah,1,1,404,5,15,553,TRUE,1
3 4 im going really fast got a bonus,1,1,372,3,13,159,TRUE,1
i keep thinking that the bonus is my like controller,1,1,52,6,16,251,TRUE,1
are they all bonus,1,1,731,1,1,9,TRUE,1
p dollar sign one friend got bonus,1,1,22,2,2,112,TRUE,1
ohh i needed the bonus and i didnt get it,1,1,52,4,4,604,TRUE,1
bonus of 100 points,1,1,853,2,12,339,TRUE,1
got a bonus,1,1,3,8,8,161,TRUE,1
just got that bonus,1,1,338,9,19,329,TRUE,1
bonus,1,1,56,9,9,144,TRUE,1
awe no i should have got bonus missiles no there yeah yeah,1,1,8,7,17,213,TRUE,1
bonus bonus,1,1,28,10,10,452,TRUE,1
okay watching this bonus here,1,1,50,3,13,216,TRUE,1
two dollar signs but i missed the bonus points,1,1,24,7,7,161,TRUE,1
lets take bonus points because i need all the help i can get really trying to slow down here,1,1,41,1,1,383,TRUE,1
that was not a bonus,1,1,46,10,10,602,TRUE,1
it should be a bonus,1,1,12,6,16,195,TRUE,1
okay bonus,1,1,9,6,16,237,TRUE,1
no go that way that way oh bonus,1,1,455,9,19,146,TRUE,1
five bonus opportunities,1,1,1,6,16,640,TRUE,1
okay well i just missed that bonus hit it too early,1,1,34,5,5,253,TRUE,1
bonus,1,1,55,7,7,853,TRUE,1
bonus points,1,1,33,9,19,336,TRUE,1
p bonus points thats a foe,1,1,50,10,10,130,TRUE,1
first bonus,1,1,788,9,19,116,TRUE,1
got the bonus,1,1,46,10,10,613,TRUE,1
i think im just going to keep moving in one solid line it seems to keep working for me i got a bonus so thats something,1,1,361,4,4,28,TRUE,1
ok umm i definitely have more control theres the first bonus sign h ah man,1,1,404,2,12,440,TRUE,1
wheres my bonus,1,1,8,3,13,95,TRUE,1
time to get a second dollar sign for a bonus,1,1,44,5,5,776,TRUE,1
p still got my bonus,1,1,19,6,16,45,TRUE,1
believe i just got bonus points on accident because i pressed the wrong button,1,1,36,1,11,316,TRUE,1
bonus,1,1,44,5,5,800,TRUE,1
i missed my bonus opportunity cuz i clicked too early,1,1,6,6,6,89,TRUE,1
oh thats a bonus,1,1,473,3,13,64,TRUE,1
thats my bonus for that second dollar sign,1,1,44,6,6,902,TRUE,1
i feel so saddened right now but i got the bonus so i feel better,1,1,9,9,19,387,TRUE,1
p theres the first dollar sign got the bonus points thats a friend,1,1,45,7,17,197,TRUE,1
bonus,1,1,623,8,8,287,TRUE,1
2nd one got the bonus,1,1,404,2,12,441,TRUE,1
bonus,1,1,54,9,9,451,TRUE,1
bonus points,1,1,33,1,1,410,TRUE,1
cant remember what bonus i got,1,1,54,4,14,93,TRUE,1
i need to pay attention to bonuses and control the ship,1,1,44,5,15,102,TRUE,1
p second one so i get the bonus points,1,1,45,2,12,142,TRUE,1
dollar sign again bonus,1,1,55,5,15,183,TRUE,1
next bonus ill have to get missiles,1,1,130,6,16,130,TRUE,1
bonus points,1,1,50,3,13,218,TRUE,1
wasting one of my bonuses,1,1,15,10,10,1298,TRUE,1
oh there was a bonus,1,1,804,10,20,223,TRUE,1
missed the bonus,1,1,3,10,10,229,TRUE,1
five bonus opporutnities and i didnt get a single one,1,1,12,3,3,462,TRUE,1
and a dollar sign but i clicked last time so im not gunna get the bonus,1,1,853,7,7,183,TRUE,1
nice i got the bonus shots cause theres no point in using the points because im freaking negative eleven hundred,1,1,20,7,17,189,TRUE,1
uh points okay i finally got the bonus points cuz i had above 50 missiles,1,1,685,2,2,29,TRUE,1
there was just a 2nd dollar sign for the bonus,1,1,848,9,9,376,TRUE,1
oh i got a bonus,1,1,15,5,5,937,TRUE,1
go for the bonus,1,1,404,4,4,146,TRUE,1
i got a bonus though,1,1,445,2,2,429,TRUE,1
p no bonus,1,1,22,1,1,100,TRUE,1
one more bonus,1,1,54,7,7,415,TRUE,1
bonus missile bonus,1,1,210,10,10,175,TRUE,1
points bonus got it,1,1,404,4,4,139,TRUE,1
p dollar sign one friend no bonus,1,1,22,2,2,111,TRUE,1
got you bonus missed missed missed q,1,1,1,7,7,295,TRUE,1
nice and slow 6 7 8 wait thats a good mine k bonus points,1,1,41,10,20,332,TRUE,1
missile bonus,1,1,210,8,8,122,TRUE,1
theres one money sign theres two bonus,1,1,681,6,6,282,TRUE,1
got the bonus,1,1,27,6,16,346,TRUE,1
bonus,1,1,55,3,3,629,TRUE,1
bonus bonus points i think yea yea bonus points,1,1,155,3,3,219,TRUE,1
ah thats the first bonus symbol,1,1,404,10,20,753,TRUE,1
that was a double dollar sign why am i not getting the bonus points,1,1,101,3,3,392,TRUE,1
the bonus sign,1,1,130,8,18,182,TRUE,1
second bonus time i cant shoot this,1,1,130,1,1,230,TRUE,1
uh dang it i just misidentified the bonus so im not gonna get it next time it comes up,1,1,685,9,9,194,TRUE,1
okay so even if i die i still do the dollar signs get the bonus it doesnt reset it,1,1,513,3,13,35,TRUE,1
i think that was a bonus,1,1,12,8,18,255,TRUE,1
ok so thats a so thats an enemy and im seeking a bonus of points,1,1,604,7,7,652,TRUE,1
bonus,1,1,46,3,3,343,TRUE,1
got that bonus,1,1,790,8,8,322,TRUE,1
mumbles i got a bonus point,1,1,272,1,11,105,TRUE,1
cool but i got a bonus now that took a lot of effort a lot of focus,1,1,190,7,17,100,TRUE,1
p get my bonus points,1,1,19,10,10,166,TRUE,1
3 4 got him 6 7 8 thats the bonus,1,1,910,4,14,399,TRUE,1
dollar sign oh did i miss the bonus i think i did,1,1,455,10,20,168,TRUE,1
hey i got a bonus,1,1,28,2,2,92,TRUE,1
two dollar signs bonus points nice,1,1,52,6,6,706,TRUE,1
another dollar sign collect the bonus i got hit with a mine got hit with the ship my ship might go soon,1,1,468,6,6,105,TRUE,1
second bonus symbol,1,1,404,10,20,755,TRUE,1
i feel like im not paying enough attention to the bonus,1,1,12,3,3,455,TRUE,1
and the bonus,1,1,689,2,12,59,TRUE,1
and another bonus points,1,1,6,2,12,181,TRUE,1
first time i see the dollar sign second time got the bonus points,1,1,319,6,6,142,TRUE,1
bonus,1,1,8,7,17,226,TRUE,1
1 2 3 4 dollar sign dont miss dollar sign bonus,1,1,910,4,4,91,TRUE,1
bonus points yea,1,1,818,6,16,466,TRUE,1
57 shots i need a bonus soon 7 vulnerability and i just got more shots however thats a bad mine,1,1,130,5,5,314,TRUE,1
oh bonus,1,1,455,10,20,162,TRUE,1
p i got the bonus points,1,1,45,3,13,152,TRUE,1
get dollar sign two to get the bonus,1,1,44,8,8,1054,TRUE,1
oh wrong keys dollar sign another dollar sign bonus points as always,1,1,853,4,14,369,TRUE,1
oh no i think that was a bonus,1,1,33,6,6,658,TRUE,1
oh okay so many checks and a bonus,1,1,804,10,20,213,TRUE,1
i should have took the bonus shots,1,1,14,7,7,745,TRUE,1
p bonus,1,1,22,3,3,124,TRUE,1
im identifying things a lot better im paying attention to the shots indicator the iff indicator and the bonus points because ive gotten more points on this round than the other one,1,1,685,9,19,427,TRUE,1
p thats a friendly mine were at 7 vulnerability 8 9 bonus points shoulda taken the shots but im a sucker for points,1,1,41,10,20,352,TRUE,1
bonus,1,1,46,3,13,57,TRUE,1
no too fast oh get bonus,1,1,301,6,6,193,TRUE,1
no bonus so,1,1,273,10,10,203,TRUE,1
bonus points,1,1,52,4,14,165,TRUE,1
i thought that was the second money sign so i tried to claim it but now i cant claim that bonus,1,1,558,10,20,134,TRUE,1
1 2 3 4 tad thats a good one gonna press this button and get my bonus,1,1,32,2,12,28,TRUE,1
cmon oh bonus,1,1,455,10,10,336,TRUE,1
thats a bonus point,1,1,818,7,7,174,TRUE,1
okay well not bonus destroyed j friendly,1,1,14,10,10,845,TRUE,1
bonus nope,1,1,788,2,12,24,TRUE,1
p another bonus shots,1,1,19,3,13,32,TRUE,1
p okay i got bonus points this round thats a plus,1,1,348,5,5,152,TRUE,1
bonus points,1,1,33,8,8,807,TRUE,1
money sign bonus,1,1,681,7,17,127,TRUE,1
1 dollar sign bonus,1,1,910,8,8,193,TRUE,1
its ok still got the bonus,1,1,804,4,14,88,TRUE,1
p friend dollar two bonus,1,1,22,9,9,237,TRUE,1
take the bonus points,1,1,41,8,8,579,TRUE,1
p get my bonus points,1,1,19,6,16,49,TRUE,1
bonus,1,1,55,3,3,636,TRUE,1
bonus points,1,1,818,3,13,366,TRUE,1
bonus points,1,1,32,4,14,103,TRUE,1
50 points bonus,1,1,26,4,4,47,TRUE,1
second one bonus points,1,1,319,7,7,178,TRUE,1
just got a bonus,1,1,338,8,18,309,TRUE,1
bonus,1,1,50,5,15,281,TRUE,1
i missed a lot of bonus points,1,1,319,5,15,373,TRUE,1
dolalr sign bonus,1,1,55,8,8,923,TRUE,1
bonus,1,1,1,10,10,455,TRUE,1
bonus got one,1,1,55,10,10,1018,TRUE,1
go down that way not that way this way oh bonus,1,1,455,3,3,213,TRUE,1
second dollar sign gave me my bonus,1,1,14,3,3,571,TRUE,1
bonus,1,1,56,2,12,253,TRUE,1
i got the bonus too alright,1,1,33,9,19,342,TRUE,1
alright i got bonus bullets,1,1,273,10,20,393,TRUE,1
4 5 bonus shots,1,1,910,7,7,175,TRUE,1
and dying like staying in the square thinking about the shots the bonus symbols when they appear,1,1,825,5,15,395,TRUE,1
missed the bonus,1,1,46,5,5,429,TRUE,1
got the missile bonus,1,1,210,10,10,165,TRUE,1
bonus alright bonus points,1,1,348,8,18,84,TRUE,1
p bonus points,1,1,348,2,2,127,TRUE,1
i mightve lost a bonus,1,1,20,10,10,816,TRUE,1
seems to be a bonus,1,1,55,7,7,894,TRUE,1
im getting shot at everywhere im getting no bonuses,1,1,301,5,15,87,TRUE,1
floating back into the control zone got the bonus there we go everyone knows that honestly,1,1,404,4,14,519,TRUE,1
p kind of getting killed a lot too so its not a good strategy pick up some bonus points,1,1,19,8,8,150,TRUE,1
bonus,1,1,55,4,4,712,TRUE,1
bonus,1,1,27,4,14,303,TRUE,1
bonus points,1,1,910,9,9,220,TRUE,1
bonus,1,1,272,3,13,127,TRUE,1
i can see that i have negative shots but i cant get the bonus so thats not good,1,1,190,7,17,99,TRUE,1
bonus,1,1,623,7,7,246,TRUE,1
bonus,1,1,34,7,17,1146,TRUE,1
bonus points,1,1,30,8,18,1007,TRUE,1
okay thats a foe but my interval wasnt fast enough and bonus,1,1,49,4,14,111,TRUE,1
yeah i got the bonus,1,1,48,1,1,34,TRUE,1
alright bonus points,1,1,348,9,19,97,TRUE,1
bonus points,1,1,33,1,1,400,TRUE,1
bonus,1,1,623,4,14,66,TRUE,1
mumbles okay theres a money sign mumbles dont know whats happening oh i got a bonus okay,1,1,445,9,19,312,TRUE,1
so i didnt click the missiles button because i have not been using missiles i clicked the bonus,1,1,468,4,4,58,TRUE,1
so even if you die you still get bonus points,1,1,348,10,20,111,TRUE,1
okay that was bonus,1,1,34,6,16,998,TRUE,1
1 2 3 got bonus 4 5 6 7 8 9 10 destroyed fortress 126 points,1,1,372,7,17,211,TRUE,1
second bonus,1,1,473,5,5,268,TRUE,1
yeah i finally got a bonus,1,1,54,7,17,209,TRUE,1
there were just 2 dollar signs in a row so i was able to collect 100 points bonus which puts my points at 34 currently cause i was just shot and just destroyed by the fortress,1,1,848,10,20,207,TRUE,1
bonus,1,1,56,7,17,504,TRUE,1
oh wait bonus,1,1,27,2,12,256,TRUE,1
p its one dollar sign the second dollar sign so i got my bonus,1,1,45,5,15,174,TRUE,1
p bonus points cause i need all the points i can get here,1,1,17,6,6,31,TRUE,1
bonus,1,1,1,6,6,252,TRUE,1
okay bonus,1,1,34,8,18,1230,TRUE,1
bonus,1,1,44,3,3,642,TRUE,1
2 bonus,1,1,372,8,18,216,TRUE,1
bonus,1,1,50,2,12,181,TRUE,1
bonus,1,1,818,3,13,380,TRUE,1
p get my bonus shots,1,1,19,7,17,56,TRUE,1
got the bonus,1,1,455,6,6,258,TRUE,1
if i wait one more second ill get a bonus,1,1,361,5,15,149,TRUE,1
there was just one dollar sign and the second dollar sign so ill take the 100 bonus points even though i shouldve checked to see how many missiles i had,1,1,848,8,18,178,TRUE,1
20 shots left and i misidentified the bonus so im not gonna get that,1,1,685,2,12,261,TRUE,1
p dollar sign one bonus,1,1,22,8,18,75,TRUE,1
bonus,1,1,681,10,20,180,TRUE,1
bonus,1,1,49,2,12,67,TRUE,1
p i see a bonus got the missiles i think,1,1,50,3,3,35,TRUE,1
dollar sign again bonus,1,1,55,10,20,459,TRUE,1
p got the bonus missiles,1,1,50,7,7,71,TRUE,1
lets take bonus shots,1,1,41,6,6,505,TRUE,1
ill take bonus points that was a friendly im guessing,1,1,14,5,15,203,TRUE,1
other way bonus,1,1,1,7,7,263,TRUE,1
theres really no point in getting a bonus,1,1,20,10,20,376,TRUE,1
and i just died on my bonus,1,1,155,4,14,72,TRUE,1
so i need some extra shots there we go bonus missiles,1,1,8,2,12,49,TRUE,1
bonus of 100 points im gonna die very soon i got hit too many times,1,1,853,6,16,400,TRUE,1
p bonus,1,1,22,4,14,36,TRUE,1
alright dollar sign no bonus,1,1,273,1,11,223,TRUE,1
and bonus points,1,1,14,8,18,329,TRUE,1
p no bonus,1,1,22,5,15,41,TRUE,1
oh i got bonus points,1,1,273,3,3,68,TRUE,1
i got a bonus of missiles,1,1,853,8,8,201,TRUE,1
p bonus,1,1,22,8,18,70,TRUE,1
i need to look out for the money sign for the bonuses,1,1,623,4,4,202,TRUE,1
there have been 3 bonuses so far we have b which was a friend i guess well see,1,1,848,5,15,97,TRUE,1
i believe a bonus just went by,1,1,36,9,19,627,TRUE,1
money sign bonus darn it,1,1,301,9,9,231,TRUE,1
oh i missed the bonus,1,1,11,9,19,741,TRUE,1
i havent been identifying bonuses havent been focusing on shooting and thinking about my hand too much i guess cause i got a cramp in my pinky,1,1,685,8,18,402,TRUE,1
bonus,1,1,301,10,10,243,TRUE,1
2 3 4 bonus points 5 6 7 8 9 10 oh yea i forgot about that part where when a missiles on the field you can kill the fortress its invincible,1,1,825,10,10,294,TRUE,1
bonus,1,1,32,2,12,59,TRUE,1
bonus,1,1,818,6,6,139,TRUE,1
i got the bonus,1,1,586,2,12,193,TRUE,1
okay i got a bonus but still at negative points,1,1,445,7,17,216,TRUE,1
bonus points,1,1,48,5,5,200,TRUE,1
how did ihow did i not get that bonus,1,1,15,8,18,475,TRUE,1
8 9 10 and i got the bonus,1,1,372,9,9,112,TRUE,1
bonus,1,1,4,8,18,133,TRUE,1
bonus bonus bonus bonus,1,1,210,8,8,125,TRUE,1
p friend bonus too,1,1,22,2,12,20,TRUE,1
money sign money sign bonus,1,1,681,1,11,7,TRUE,1
bonus points,1,1,6,7,7,110,TRUE,1
thats the bonus,1,1,6,3,13,200,TRUE,1
point bonus,1,1,210,6,16,328,TRUE,1
p got the bonus points,1,1,45,4,14,167,TRUE,1
got a bonus opportunity here,1,1,50,9,19,415,TRUE,1
oh theres the bonus,1,1,604,3,13,107,TRUE,1
dollar sign again bonus,1,1,55,7,7,886,TRUE,1
i think thats the bonus,1,1,11,5,15,625,TRUE,1
im about to lose the bonus to this mine,1,1,338,8,18,310,TRUE,1
mumbles got bonus,1,1,26,1,11,197,TRUE,1
bonus,1,1,34,9,19,1346,TRUE,1
dollar sign oh bonus points,1,1,853,5,15,386,TRUE,1
bonus missiles,1,1,52,3,13,112,TRUE,1
and i just got bonus points and a lot more attention and i died thats cool,1,1,685,9,19,413,TRUE,1
p and i got the bonus points for the double dollar sign,1,1,45,9,9,99,TRUE,1
is that a bonus i dont think it is,1,1,33,7,17,279,TRUE,1
oh dang well i destroyed the fortress but i didnt get the bonus in time before i destroyed it,1,1,685,1,11,238,TRUE,1
bonus i want that bonus,1,1,14,7,17,269,TRUE,1
oo two dollar signs bonus nice,1,1,52,9,9,839,TRUE,1
one money sign two money sign bonus,1,1,681,7,7,289,TRUE,1
b thats unfriendly thats the second symbol for the bonus got it,1,1,404,9,19,698,TRUE,1
i went through the bonus points,1,1,8,1,11,21,TRUE,1
i havent like capitalized on the bonuses yet,1,1,43,4,4,130,TRUE,1
so i know theres always 5 bonus thingies but it seems like its more frequent,1,1,604,5,5,581,TRUE,1
uh bonus,1,1,30,1,11,644,TRUE,1
got another bonus,1,1,361,10,10,65,TRUE,1
guess i got the bonus pressing the mouse button instead of the fire,1,1,46,6,6,454,TRUE,1
p i got that bonus,1,1,338,7,17,294,TRUE,1
i honestly dont even pay attention to the dollar signs i just click it whenever i see it with hopes of getting a bonus,1,1,908,6,6,181,TRUE,1
well i got the bonus at least,1,1,11,4,14,583,TRUE,1
oh there is bonus thats good,1,1,348,7,17,75,TRUE,1
all 5 bonus points,1,1,604,8,18,339,TRUE,1
waiting for the second bonus to come up nope it didnt,1,1,404,1,11,411,TRUE,1
get my bonus points though,1,1,30,4,14,797,TRUE,1
bonus points,1,1,33,8,8,783,TRUE,1
p no bonus,1,1,22,1,11,8,TRUE,1
just 2 whats it called money signs in a row we were able to receive a point bonus and it comes in handy at 1100 points,1,1,848,5,15,98,TRUE,1
got the bonus,1,1,46,4,4,387,TRUE,1
bonus points,1,1,33,10,10,884,TRUE,1
another bonus,1,1,34,4,4,173,TRUE,1
i think thats the dollar sign ill pop the bonus in a second,1,1,44,4,14,78,TRUE,1
bonus i got a bonus of missiles,1,1,853,1,1,11,TRUE,1
second flash bonus,1,1,6,2,12,172,TRUE,1
got the bonus missiles,1,1,50,8,18,378,TRUE,1
bonus,1,1,44,3,3,648,TRUE,1
its hard to go around this thing but also watching that but also trying to watch the symbols to try to get the bonus,1,1,54,3,3,339,TRUE,1
its very hard to consider a bonus when youre worried about not getting hit,1,1,12,4,14,114,TRUE,1
i got the bonus,1,1,319,4,4,96,TRUE,1
good got the bonus thats an ally but i dont know what to do,1,1,130,2,12,36,TRUE,1
number of bonus opportunities 5,1,1,49,9,9,486,TRUE,1
i forgot about the bonus,1,1,739,7,7,76,TRUE,1
bonuses coming up,1,1,44,7,17,264,TRUE,1
there was just 1 dollar sign there was another one so i received 100 bonus points,1,1,848,5,15,102,TRUE,1
alright bonus cool,1,1,273,3,13,254,TRUE,1
p here i started off bad just got a bonus total luck then i did alright and just sunk back down to where i started,1,1,35,9,9,241,TRUE,1
thats the bonus,1,1,6,1,11,156,TRUE,1
ok got a pretty good thing going m ah man i didnt have time to focus on the second bonus symbol,1,1,404,7,17,623,TRUE,1
got the bonus,1,1,46,7,17,174,TRUE,1
oh thats an enemy theres a bonus get back on the control 539,1,1,130,10,20,219,TRUE,1
thats bonus,1,1,56,1,11,232,TRUE,1
okay got a bonus,1,1,44,7,17,247,TRUE,1
1 just got the bonus,1,1,372,6,16,198,TRUE,1
bonus points,1,1,910,9,9,215,TRUE,1
got bonus missiles,1,1,273,6,16,331,TRUE,1
got the bonus,1,1,46,9,9,580,TRUE,1
bonus,1,1,44,4,4,673,TRUE,1
oh that was near a bonus,1,1,52,1,1,459,TRUE,1
p bonus points,1,1,50,10,10,125,TRUE,1
